"Category","Advice","Source"
"Foods to increase consumption of","meats","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","nuts","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","seeds","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","salmon","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","tuna","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","saury","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","sardines","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to eat in moderation","red meat","['10', 'methods10', '  As regards the frequency of food consumption, no precise indications have been provided; however, it was advisable to vary the food choices, favoring fish, legumes, white meat, and extra-virgin olive oil as seasoning, typical of the Mediterranean style, and reduce the intake of red meat, full-fat dairy products, and refined foods. However, such products could be consumed as an exception to the diet.  The KETO group followed a multiphasic protocol, with exclusive initial use of protein meal replacement products (Therascience, Monaco, Principality of Monaco) and at least two daily servings of non-starchy vegetables. In addition, according to guidelines, omega-3, multivitamins, and multimineral supplementation were prescribed [76]. Each meal replacement product consisted of approximately 18 g of high-value proteins per serving; therefore, the number of products used daily was proportional to the protein requirement indicated by guidelines as 1.2–1.5 g/kg of ideal body weight [76].', 'bc773099-2691-4ec7-a0d9-0d03ae35d134']"
"Foods to avoid","bread","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","pasta","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","rice","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","potatoes","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","sugar","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","honey","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","fruits","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Macros: Percent of Fat","75%","['11', 'methods11', '18 \xa0 %Male: NR\t16 weeks\tMKD: 7-day cyclic altered KD (≈10% carbohydrates (CHO) (50 g), 15% Protein (75 g), 75% Fat (167 g); 2000 Kcal); main source of Fat: medium chain triglyceride (MCT)\tStandard traditional diet\tNot specified by study protocol\tNone\tUrinary ketones: dip stick test and urine analyzer\tEORTC QLQ-C30\t Cohen, 2018, Birmingham (urine analyzer EORTC QLQ C30 Cohen 2018 Birmingham (USA)) [42]\tWomen with ovarian or endometrial cancer, BMI ≥ 18.5 kg/m2 I: n = 37; 25 completers C: n = 36; 20 completers\tAge: mean (SD): I: 61.5 ± 8.5 C: 58.6 ± 11.', 'd69ac2dd-3c7d-4949-848e-7624ffc19e24']"
"Percent of Protein","15%","['8', 'results1', '6\u2009±\u200910.9\t23.0\u2009±\u20092.5\t4.5\u2009±\u20095.2\t  Abbreviations: BMI body mass index, F female, M male, metabolic equivalent of task (MET) metabolic equivalent of task   aMeasured at inclusion to main KetoPerformance study   bMale : female n (%)     Diet compositions Macronutrient compositions of the habitual diet (before KD), intervention diet and diet of the substudy day are shown in Table\xa02. The average intake of all three macronutrients during the KD period was significantly different from the habitual diet. The substudy day was representative of the KD period, as macronutrient composition did not differ from the 7-day food record at the end of the KD. According to their 1-day food record, the subjects consumed on average a diet with 74.3\u2009±\u20094.0\xa0%, 19.5\u2009±\u20093.5\xa0%, and 6.2\u2009±\u20092.0\xa0% of total energy intake from fat, protein and carbohydrate, respectively.', 'b4b19077-a19f-4a54-b8e6-1410a4088318']"
"Percent of Carbs","5%","['4', 'methods1', ' Day one and day 42 will subsequently be denoted PRE and POST, respectively.  Our dietary recommendations and handouts were similar to those used in the study by Klement et al. [14]. Our subjects were provided with handouts summarizing the main aspects of a KD and given a list of suitable foods with very low carbohydrate content. Furthermore, the subjects shared cooking recipes and links to helpful webpages on an internal weblog. They were free to follow a KD according to their personal preferences but were advised to eat ad libitum but limit their carbohydrate intake to a maximum of 20–40\xa0g/day to derive at least 75%, 15–20%, and 5–10% of total energy from fats, protein, and carbohydrates, respectively.', 'cbbde58b-12f2-4944-8467-41e87f213b9c']"
