"Category","Advice","Source"
"Foods to eat in moderation","dairy products","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to eat in moderation","wine","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to avoid","red meat","['11', 'introduction11', ' Specifically, they were advised to minimize the amount of oil used for cooking and dressing (≤2 tablespoons/day); not to eat more than 1 serving of red meat per week; choosing low-fat dairy products; consumption of lean fish instead of oily fish or fish/seafood canned in oil (≤1 serving/week); avoidance of nuts and seeds (≤1 serving/ week); to limit the consumption of commercial bakery goods, sweets, and pastries (≤ 1 serving/week); and to cook without the use of oil.  S4 Table provides the intake of main food groups at baseline and after 1 year of intervention. The consumption of whole grains (unrefined) instead of refined grains was recommended in both dietary intervention groups. Patients increased the intake of whole grains and reduced those refined grains after both the Mediterranean diet and the low-fat diet.', 'a38a245f-7889-4311-a938-044cccb4084e']"
"Foods to avoid","processed meat","['19', 'results5', 'ain cereals over white varieties\t\t  Increase fish (particularly oily fish) \t\tFish ≥ 3 servings (420g) (not battered or crumbed)\t  Reduce meat \t\tRed meat ≤ 2 servings (300g) Processed meat ≤ 1 serving (150g)\t  Reduce confectionary \t\tConfectionary ≤ 3 servings\t  Moderate alcohol \t\tAlcohol (if consumed) 125-375 ml ≥ 3 days\t Mediterranean Diet Score (MDS) Mediterranean Diet Score    Findings from our focus groups and interviews in relation to barriers for adoption of a MD are reported in full elsewhere [28]. This qualitative work was used to inform the COM-B analysis which identified barriers in capability, opportunity and motivation for achieving dietary change toward a MD in our target population as shown in Table 2.', 'b744f50c-d600-46ba-9f83-3e3fbcef8805']"
"Foods to avoid","sweets","['11', 'introduction11', ' Specifically, they were advised to minimize the amount of oil used for cooking and dressing (≤2 tablespoons/day); not to eat more than 1 serving of red meat per week; choosing low-fat dairy products; consumption of lean fish instead of oily fish or fish/seafood canned in oil (≤1 serving/week); avoidance of nuts and seeds (≤1 serving/ week); to limit the consumption of commercial bakery goods, sweets, and pastries (≤ 1 serving/week); and to cook without the use of oil.  S4 Table provides the intake of main food groups at baseline and after 1 year of intervention. The consumption of whole grains (unrefined) instead of refined grains was recommended in both dietary intervention groups. Patients increased the intake of whole grains and reduced those refined grains after both the Mediterranean diet and the low-fat diet.', 'a38a245f-7889-4311-a938-044cccb4084e']"
"Foods to avoid","sugar-sweetened beverages","['6', 'methods3', ' Twelve of them with food consumption targets (olive oil as the principal source of fat for cooking, >3 tablespoons of olive oil/day, ≥2 serving/day of vegetables, ≥3 servings/day of fruit, <1 serving/day of red meat, <1 serving/day of butter or margarine, <1 serving/day of sugar-sweetened beverages, ≥1 cup/day of wine, ≥3 servings/week of legumes, ≥3 servings/week of fish, <2 servings/week of commercial pastry, ≥3 servings/week of nuts), and two additional items with targets for consumption habits characteristic of the Mediterranean diet in Spain: preference for white meat over red meat, and ≥2 times/week consumption of dishes with sofrito (a tomato sauce with garlic, onion, or leeks sautéed in olive oil). A value of +1 was assigned to each target achieved. A higher score indicates better Mediterranean diet adherence (range 0–14).', 'bb31a69f-45b9-4dfe-b6ca-0da309277c48']"
"Foods to avoid","commercial pastries","['6', 'methods3', ' Twelve of them with food consumption targets (olive oil as the principal source of fat for cooking, >3 tablespoons of olive oil/day, ≥2 serving/day of vegetables, ≥3 servings/day of fruit, <1 serving/day of red meat, <1 serving/day of butter or margarine, <1 serving/day of sugar-sweetened beverages, ≥1 cup/day of wine, ≥3 servings/week of legumes, ≥3 servings/week of fish, <2 servings/week of commercial pastry, ≥3 servings/week of nuts), and two additional items with targets for consumption habits characteristic of the Mediterranean diet in Spain: preference for white meat over red meat, and ≥2 times/week consumption of dishes with sofrito (a tomato sauce with garlic, onion, or leeks sautéed in olive oil). A value of +1 was assigned to each target achieved. A higher score indicates better Mediterranean diet adherence (range 0–14).', 'bb31a69f-45b9-4dfe-b6ca-0da309277c48']"
"Macros: Percent of Fat","30-35%","['4', 'methods4', '  (2) The Mediterranean Diet–high meal frequency (MD-HMF) group, which was instructed to adhere to a Mediterranean Diet based on a distribution of macronutrients of 30%–35% fat (mainly mono- and poly-unsaturated fatty acids from extra virgin olive oil, nuts, and omega-3 containing foods), 25% protein (mainly from vegetable sources), and 40%–45% carbohydrates (50%–70% of the total carbohydrate intake should low on glycaemic index and rich in fiber). This diet was previously observed to reduce fat mass and overall weight and improve general oxidative stress in patients with the metabolic syndrome [16], providing high Total Antioxidant Capacity (Total Antioxidant Capacity (TAC)), and focused on the chronological distribution of meals, as factors, such as meal frequency and distribution could aid in reducing the feeling of hunger, thus improving compliance to an energy restricted dietary regime [17].', '931f94d8-43e1-47f6-9bf2-6a4388e92fc1']"
"Percent of Protein","15-20%","['4', 'methods4', ' Ltd., South Korea).  Mediterranean diet  Based on an updated systematic review of the core compositional elements of a Mediterranean diet14, the study required patients in the MD group to consume 15–20% protein (low-fat dairy, poultry, fish, legumes, nuts, red meat) in their daily food intake, 45–50% carbohydrates (vegetables, fruits, whole grains), and 25–35% fat (especially from olive oil). In this MD, the daily minimum requirements of vitamins and minerals were expected to be included with the food and beverage selections; therefore, supplements were not added.  Diet follow-up  Demographic information, anthropometric and biochemical measurements, liver size, and gastrointestinal issues were assessed carefully before and after the diet. An interview was conducted at the hospital outpatient clinic to evaluate the nutritional status of the patients in detail on the 7th and the 15th days after the start of the study.', '6d059142-d366-4834-8769-3f0153a1a69b']"
"Percent of Carbs","50-55%","['1', 'methods1', ' Intervention  Subjects were evaluated at baseline (T0) and after 12 months (T12) of a lifestyle intervention program. A trained pediatric endocrinologist and a nutritionist assessed the habitual diet and administered an isocaloric Mediterranean balanced diet (50–55% carbohydrates with less than 12% of sugars; 16–17% proteins; 28–32% fats with less than 10% saturated fats; fibers 8.5 g/1000 Kcal) according to Italian la Popolazione Italiana (LARN) Guidelines for age and gender [8]. Mediterranean food pyramid was explained together with the diet [9]. Two or more servings of fish and legumes per week and five of raw or cooked vegetables and fruits per day were recommended. Daily intake of nuts and extra-virgin olive oil was suggested, whereas that of processed foods, bakery, candies, trans-fats, and sugars was discouraged. Pictures of dishes were presented on booklets to each subject and their parents to educate to portion size and Kilocalories.', '0e852578-07ac-41cf-a7a4-4d04913737e9']"
