"Category","Advice","Source"
"Foods to increase consumption of","nuts","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","whole grains","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to eat in moderation","dairy products","['9', 'introduction9', ' And several response categories: daily consumption,\u2009≥\u20093 times / week, 1–2 times / week,\u2009<\u20091 time / week, never or almost never. The foods were: dairy products, meats, cold meats and sausages, fish, eggs, legumes, potatoes, vegetables, fruit, rice and pasta, bread, cakes or sweets, olive oil, other oils, animal fat, fried foods, ready meals, preserved food, nuts, bag snacks. Adherence to the Mediterranean diet was estimated through an adaptation of the score used by Panagiotakos in the ATTICA study19. A score of 0 was considered minimum adherence, compared to 80, which would be maximum adherence. Adherence to the Mediterranean diet was grouped into three categories low (0–53 points), medium (54–59 points) and high (60–80 points).  Overweight and general obesity was defined as a Body Mass Index (Body Mass Index (BMI))\u2009≥\u200925\xa0g/m2, and abdominal obesity as a waist circumference\u2009≥\u2009102\xa0cm in men and\u2009≥\u200988\xa0cm in women.', '78fb33de-6e4b-444a-bc8d-e5c402533370']"
"Foods to avoid","red meat","['15', 'discussion0', 'We have found that prior adherence to a typical Italian Mediterranean diet, measured with the Italian Mediterranean Index, was associated with a lowered risk of weight gain (in people of normal weight at baseline) and a lowered risk of becoming overweight/obese 6–20 years later. High score on the Italian Mediterranean Index was also associated with lower gain in waist girth and lower risk of abdominal obesity. These associations were marginally influenced by specific components of the Mediterranean diet. Thus, when low red and processed meat consumption was removed as a component of the Index, the resulting diet was no longer “protective” against either overweight/obesity or abdominal obesity. Furthermore when high pasta intake, and low soft drink intake were removed, the resulting diet was no longer protective against abdominal obesity.', 'a8f29d7f-6650-4789-80a2-535aef5e6655']"
"Foods to avoid","processed meats","['15', 'discussion0', 'We have found that prior adherence to a typical Italian Mediterranean diet, measured with the Italian Mediterranean Index, was associated with a lowered risk of weight gain (in people of normal weight at baseline) and a lowered risk of becoming overweight/obese 6–20 years later. High score on the Italian Mediterranean Index was also associated with lower gain in waist girth and lower risk of abdominal obesity. These associations were marginally influenced by specific components of the Mediterranean diet. Thus, when low red and processed meat consumption was removed as a component of the Index, the resulting diet was no longer “protective” against either overweight/obesity or abdominal obesity. Furthermore when high pasta intake, and low soft drink intake were removed, the resulting diet was no longer protective against abdominal obesity.', 'a8f29d7f-6650-4789-80a2-535aef5e6655']"
"Foods to avoid","butter","['6', 'methods6', '  The group of Not recommended foods included:− Animal milk, dairy products, “ricotta”, sugary beverages, alcoholic drinks (wine, beer, spirits), white sugar, artificial sweeteners, sweetened jam, milk chocolate, candies, biscuits, ice creams, brioches, egg noodles, corn flakes, sweetened muesli, red meat, processed meat, potatoes, mashed potatoes, French fries, butter, lard cream, margarine, ready sauces, mayonnaise, ketchup.  Neutral foods (not recommended but not discouraged) included:− -Café, unsweetened fruit juices, dark chocolate, cookies, ice cream or other desserts without sugar, white bread (and pizza), whole meal flour bread and pizza, white rice, whole rice, rice cakes, other grains, white meat, clams and shellfish, seitan, eggs, artichokes and fennel, cabbage family, peppers and eggplants, citrus fruit, fresh unsweetened fruit juices, seed oil, spices.  Groups of Recommended or Not recommended foods were also created using data from Mediterranean diet (MEDAS).', '71087af3-9d05-40c4-bcd0-d0632c753d1e']"
"Foods to avoid","margarine","['6', 'methods6', '  The group of Not recommended foods included:− Animal milk, dairy products, “ricotta”, sugary beverages, alcoholic drinks (wine, beer, spirits), white sugar, artificial sweeteners, sweetened jam, milk chocolate, candies, biscuits, ice creams, brioches, egg noodles, corn flakes, sweetened muesli, red meat, processed meat, potatoes, mashed potatoes, French fries, butter, lard cream, margarine, ready sauces, mayonnaise, ketchup.  Neutral foods (not recommended but not discouraged) included:− -Café, unsweetened fruit juices, dark chocolate, cookies, ice cream or other desserts without sugar, white bread (and pizza), whole meal flour bread and pizza, white rice, whole rice, rice cakes, other grains, white meat, clams and shellfish, seitan, eggs, artichokes and fennel, cabbage family, peppers and eggplants, citrus fruit, fresh unsweetened fruit juices, seed oil, spices.  Groups of Recommended or Not recommended foods were also created using data from Mediterranean diet (MEDAS).', '71087af3-9d05-40c4-bcd0-d0632c753d1e']"
"Foods to avoid","sugared drinks","['15', 'discussion0', 'We have found that prior adherence to a typical Italian Mediterranean diet, measured with the Italian Mediterranean Index, was associated with a lowered risk of weight gain (in people of normal weight at baseline) and a lowered risk of becoming overweight/obese 6–20 years later. High score on the Italian Mediterranean Index was also associated with lower gain in waist girth and lower risk of abdominal obesity. These associations were marginally influenced by specific components of the Mediterranean diet. Thus, when low red and processed meat consumption was removed as a component of the Index, the resulting diet was no longer “protective” against either overweight/obesity or abdominal obesity. Furthermore when high pasta intake, and low soft drink intake were removed, the resulting diet was no longer protective against abdominal obesity.', 'a8f29d7f-6650-4789-80a2-535aef5e6655']"
"Foods to avoid","sweets","['6', 'methods6', '  The group of Not recommended foods included:− Animal milk, dairy products, “ricotta”, sugary beverages, alcoholic drinks (wine, beer, spirits), white sugar, artificial sweeteners, sweetened jam, milk chocolate, candies, biscuits, ice creams, brioches, egg noodles, corn flakes, sweetened muesli, red meat, processed meat, potatoes, mashed potatoes, French fries, butter, lard cream, margarine, ready sauces, mayonnaise, ketchup.  Neutral foods (not recommended but not discouraged) included:− -Café, unsweetened fruit juices, dark chocolate, cookies, ice cream or other desserts without sugar, white bread (and pizza), whole meal flour bread and pizza, white rice, whole rice, rice cakes, other grains, white meat, clams and shellfish, seitan, eggs, artichokes and fennel, cabbage family, peppers and eggplants, citrus fruit, fresh unsweetened fruit juices, seed oil, spices.  Groups of Recommended or Not recommended foods were also created using data from Mediterranean diet (MEDAS).', '71087af3-9d05-40c4-bcd0-d0632c753d1e']"
"Foods to avoid","pastries","['6', 'methods6', '  The group of Not recommended foods included:− Animal milk, dairy products, “ricotta”, sugary beverages, alcoholic drinks (wine, beer, spirits), white sugar, artificial sweeteners, sweetened jam, milk chocolate, candies, biscuits, ice creams, brioches, egg noodles, corn flakes, sweetened muesli, red meat, processed meat, potatoes, mashed potatoes, French fries, butter, lard cream, margarine, ready sauces, mayonnaise, ketchup.  Neutral foods (not recommended but not discouraged) included:− -Café, unsweetened fruit juices, dark chocolate, cookies, ice cream or other desserts without sugar, white bread (and pizza), whole meal flour bread and pizza, white rice, whole rice, rice cakes, other grains, white meat, clams and shellfish, seitan, eggs, artichokes and fennel, cabbage family, peppers and eggplants, citrus fruit, fresh unsweetened fruit juices, seed oil, spices.  Groups of Recommended or Not recommended foods were also created using data from Mediterranean diet (MEDAS).', '71087af3-9d05-40c4-bcd0-d0632c753d1e']"
"Macros: Percent of Fat","25-35%","['4', 'methods4', ' Ltd., South Korea).  Mediterranean diet  Based on an updated systematic review of the core compositional elements of a Mediterranean diet14, the study required patients in the MD group to consume 15–20% protein (low-fat dairy, poultry, fish, legumes, nuts, red meat) in their daily food intake, 45–50% carbohydrates (vegetables, fruits, whole grains), and 25–35% fat (especially from olive oil). In this MD, the daily minimum requirements of vitamins and minerals were expected to be included with the food and beverage selections; therefore, supplements were not added.  Diet follow-up  Demographic information, anthropometric and biochemical measurements, liver size, and gastrointestinal issues were assessed carefully before and after the diet. An interview was conducted at the hospital outpatient clinic to evaluate the nutritional status of the patients in detail on the 7th and the 15th days after the start of the study.', '6d059142-d366-4834-8769-3f0153a1a69b']"
"Percent of Protein","15-20%","['4', 'methods4', ' Ltd., South Korea).  Mediterranean diet  Based on an updated systematic review of the core compositional elements of a Mediterranean diet14, the study required patients in the MD group to consume 15–20% protein (low-fat dairy, poultry, fish, legumes, nuts, red meat) in their daily food intake, 45–50% carbohydrates (vegetables, fruits, whole grains), and 25–35% fat (especially from olive oil). In this MD, the daily minimum requirements of vitamins and minerals were expected to be included with the food and beverage selections; therefore, supplements were not added.  Diet follow-up  Demographic information, anthropometric and biochemical measurements, liver size, and gastrointestinal issues were assessed carefully before and after the diet. An interview was conducted at the hospital outpatient clinic to evaluate the nutritional status of the patients in detail on the 7th and the 15th days after the start of the study.', '6d059142-d366-4834-8769-3f0153a1a69b']"
"Percent of Carbs","50-55%","['1', 'methods1', ' Intervention  Subjects were evaluated at baseline (T0) and after 12 months (T12) of a lifestyle intervention program. A trained pediatric endocrinologist and a nutritionist assessed the habitual diet and administered an isocaloric Mediterranean balanced diet (50–55% carbohydrates with less than 12% of sugars; 16–17% proteins; 28–32% fats with less than 10% saturated fats; fibers 8.5 g/1000 Kcal) according to Italian la Popolazione Italiana (LARN) Guidelines for age and gender [8]. Mediterranean food pyramid was explained together with the diet [9]. Two or more servings of fish and legumes per week and five of raw or cooked vegetables and fruits per day were recommended. Daily intake of nuts and extra-virgin olive oil was suggested, whereas that of processed foods, bakery, candies, trans-fats, and sugars was discouraged. Pictures of dishes were presented on booklets to each subject and their parents to educate to portion size and Kilocalories.', '0e852578-07ac-41cf-a7a4-4d04913737e9']"
