"Category","Advice","Source"
"Foods to increase consumption of","tuna","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","saury","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","sardines","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to eat in moderation","red meat","['10', 'methods10', '  As regards the frequency of food consumption, no precise indications have been provided; however, it was advisable to vary the food choices, favoring fish, legumes, white meat, and extra-virgin olive oil as seasoning, typical of the Mediterranean style, and reduce the intake of red meat, full-fat dairy products, and refined foods. However, such products could be consumed as an exception to the diet.  The KETO group followed a multiphasic protocol, with exclusive initial use of protein meal replacement products (Therascience, Monaco, Principality of Monaco) and at least two daily servings of non-starchy vegetables. In addition, according to guidelines, omega-3, multivitamins, and multimineral supplementation were prescribed [76]. Each meal replacement product consisted of approximately 18 g of high-value proteins per serving; therefore, the number of products used daily was proportional to the protein requirement indicated by guidelines as 1.2–1.5 g/kg of ideal body weight [76].', 'bc773099-2691-4ec7-a0d9-0d03ae35d134']"
"Foods to avoid","rice","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","cereals","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","bread","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","noodles","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","cakes","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","sugar","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","desserts","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","sweets","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","honey","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","beans","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","corns","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","starchy vegetables","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","fruits","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","milk","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","yogurt","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","soft drinks","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","juices","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","alcoholic beverages","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Macros: Percent of Fat","75","['11', 'methods11', '18 \xa0 %Male: NR\t16 weeks\tMKD: 7-day cyclic altered KD (≈10% carbohydrates (CHO) (50 g), 15% Protein (75 g), 75% Fat (167 g); 2000 Kcal); main source of Fat: medium chain triglyceride (MCT)\tStandard traditional diet\tNot specified by study protocol\tNone\tUrinary ketones: dip stick test and urine analyzer\tEORTC QLQ-C30\t Cohen, 2018, Birmingham (urine analyzer EORTC QLQ C30 Cohen 2018 Birmingham (USA)) [42]\tWomen with ovarian or endometrial cancer, BMI ≥ 18.5 kg/m2 I: n = 37; 25 completers C: n = 36; 20 completers\tAge: mean (SD): I: 61.5 ± 8.5 C: 58.6 ± 11.', 'd69ac2dd-3c7d-4949-848e-7624ffc19e24']"
"Percent of Protein","15","['7', 'methods7', '  Each ketogenic meal was composed of 35% fat whipping cream (Coop, Basel, Switzerland) and chocolate-flavoured protein supplement powder (Sponsor Whey Protein 94, Wollerau, Switzerland) to accomplish a total fat content of 80 wt%. The corresponding macronutritional composition of both products is summarized in Table 1. Four meals accounted for 75% of the 24-h energy expenditure (24-EE in kcal/d) of the individual’s daily calorie requirement determined by multiplying the resting energy expenditure (resting energy expenditure (REE)) of each volunteer with the physical activity factor. The resting energy expenditure (REE) is calculated using the revised Harris-Benedict formula [41] which provides a quite accurate estimate in non-overweight subjects [42]. The physical activity factor is based on the physical activity during working and free time [43].  3. Results and Discussion 3.1. Study Cohort Eleven volunteers (five females and six males) with a median age (±SD) of 22.7 (±2.', 'e9fead3a-820a-469f-ad08-8e05cd26e566']"
"Percent of Carbs","5","['4', 'methods1', ' Day one and day 42 will subsequently be denoted PRE and POST, respectively.  Our dietary recommendations and handouts were similar to those used in the study by Klement et al. [14]. Our subjects were provided with handouts summarizing the main aspects of a KD and given a list of suitable foods with very low carbohydrate content. Furthermore, the subjects shared cooking recipes and links to helpful webpages on an internal weblog. They were free to follow a KD according to their personal preferences but were advised to eat ad libitum but limit their carbohydrate intake to a maximum of 20–40\xa0g/day to derive at least 75%, 15–20%, and 5–10% of total energy from fats, protein, and carbohydrates, respectively.', 'cbbde58b-12f2-4944-8467-41e87f213b9c']"
