"Category","Advice","Source"
"Foods to increase consumption of","Meats","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","Nuts","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","Seeds","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","Green leafy vegetables","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Cruciferous vegetables","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Avocado","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Meat","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Seafood","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Fermented foods","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to increase consumption of","Organic and grass-fed sources of fats and oils","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to eat in moderation","Red meat","['10', 'methods10', '  As regards the frequency of food consumption, no precise indications have been provided; however, it was advisable to vary the food choices, favoring fish, legumes, white meat, and extra-virgin olive oil as seasoning, typical of the Mediterranean style, and reduce the intake of red meat, full-fat dairy products, and refined foods. However, such products could be consumed as an exception to the diet.  The KETO group followed a multiphasic protocol, with exclusive initial use of protein meal replacement products (Therascience, Monaco, Principality of Monaco) and at least two daily servings of non-starchy vegetables. In addition, according to guidelines, omega-3, multivitamins, and multimineral supplementation were prescribed [76]. Each meal replacement product consisted of approximately 18 g of high-value proteins per serving; therefore, the number of products used daily was proportional to the protein requirement indicated by guidelines as 1.2–1.5 g/kg of ideal body weight [76].', 'bc773099-2691-4ec7-a0d9-0d03ae35d134']"
"Foods to avoid","Bread","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Pasta","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Rice","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Potatoes","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Sugar","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Honey","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Fruits","['8', 'introduction8', '  Table 1 Ketogenic diet recommendations  Do Eat \t Do Not Eat \t  Eggs \t Bread \t  Leafy Greens \t Pasta \t  Above ground vegetables \t Rice \t  High Fat Dairy \t Potatoes \t  Natural Fats \t Sugar \t  Meats \t Honey \t  Nuts and seeds \t Fruits \t The patient was not provided with specific recipes or meal plans. Instead, she was directed to modify familiar meals while incorporating more fats. Her blood glucose levels were assessed using a home blood glucose meter (Contour TS, Bayer Health Care,\xa0IN, USA). Her urinary ketone levels were also checked prior to each metabolically supported chemotherapy (MSCT) session and served as a measure of her dietary compliance. The patient remained compliant with the KD presumably because of her understanding of the poor prognosis of this disease and her oncology team’s knowledge about the previously published papers reporting the efficacy and importance of the KD [6,9].', 'de1a6cb6-cb6a-4539-9747-c57315084ecc']"
"Foods to avoid","Beans","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Corns","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Starchy vegetables","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Milk","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Yogurt","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Soft drinks","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Juices","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Alcoholic beverages","['11', 'methods5', 'g., pork, beef, fowl such as chickens and ducks), eggs, seafood, cheese, non-starchy and green vegetables, nuts/seeds, water, and low-carbohydrate beverages (e.g., green/red tea, black coffee). Although the types of fat from saturated or unsaturated sources were not restricted, we encouraged subjects to add five tablespoons of olive oil to their daily diet. Foods/beverages to avoid during KD included rice, cereals, products made of flour (e.g., bread, noodles, cakes), sugar, desserts, sweets, honey, beans, corns, starchy vegetables, fruits (with the exception of blueberry, lemon, and avocado), milk, yogurt, soft drinks, juices, and alcoholic beverages.  To assure subjects’ adherence to KD, we required them to measure urinary ketones every day and record 3-day food diaries (2 weekdays and 1 weekend day) during the experimental period. Reagent strips (UROPAPER, Suzhou First Pharmaceutical Co., Ltd.', '43403575-291a-4c62-8a13-eca5cccc1a77']"
"Foods to avoid","Grains","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to avoid","Soy","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to avoid","Low-fat dairy products","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
"Foods to avoid","Alcohol","['3', 'methods3', ""  Dietary intervention  Participants followed a very low carbohydrate ketogenic diet (VLCKD), known as Nic's Ketogenic Diet, for 140 days. The diet provided 5% calories from carbohydrates, 70% from fat, and 25% from protein. Daily calorie needs were assessed by a Registered Dietitian (RD) using the Harris–Benedict equation to calculate basal energy expenditure which adjusts for age, height, weight, gender, and activity level.27 This estimate was then multiplied by 0.9 to calculate 90% of their energy requirements for weight maintenance.  Detailed dietary information to participants is provided in Supplementary File S1. Sweeteners, all fruits with the exception of berries, starchy vegetables, low-fat dairy products, soy, grains, beans, and alcohol were to be avoided. Participants were advised to consume green leafy and cruciferous vegetables, avocado, eggs, meat, seafood, fermented foods, high fat dairy products, and organic and grass-fed sources of fats and oils."", '7eb0ee47-9653-4cd1-9dec-308453edc65f']"
